email_id,subject,email_body,claim_type,urgency,fraud_flag
1,Health insurance claim for treatment,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 137026 are attached. Kindly process my health insurance claim.,Health,High,No
2,Health insurance claim for treatment,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 241208 are attached. Kindly process my health insurance claim.,Health,High,No
3,Medical reimbursement request,I was hospitalized due to malaria at Fortis Hospital. Medical bills amounting to Rs 33912 are attached. Kindly process my health insurance claim.,Health,High,No
4,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
5,Medical reimbursement request,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 101516 are attached. Kindly process my health insurance claim.,Health,High,No
6,Hospitalization claim submission,I was hospitalized due to dengue at PGIMER Chandigarh. Medical bills amounting to Rs 208208 are attached. Kindly process my health insurance claim.,Health,Medium,No
7,Health insurance claim for treatment,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,Medium,No
8,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
9,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
10,Hospitalization claim submission,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
11,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
12,Medical reimbursement request,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
13,Medical reimbursement request,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 160373 are attached. Kindly process my health insurance claim.,Health,High,No
14,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
15,Medical reimbursement request,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
16,Health insurance claim for treatment,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
17,Medical reimbursement request,I was hospitalized due to dengue at Fortis Hospital. Medical bills amounting to Rs 241333 are attached. Kindly process my health insurance claim.,Health,High,No
18,Hospitalization claim submission,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
19,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
20,Hospitalization claim submission,I was hospitalized due to fracture at AIIMS Delhi. Medical bills amounting to Rs 282451 are attached. Kindly process my health insurance claim.,Health,High,No
21,Health insurance claim for treatment,I was hospitalized due to covid at Fortis Hospital. Medical bills amounting to Rs 216038 are attached. Kindly process my health insurance claim.,Health,High,No
22,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
23,Hospitalization claim submission,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,High,No
24,Health insurance claim for treatment,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
25,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
26,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
27,Medical reimbursement request,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 140646 are attached. Kindly process my health insurance claim.,Health,High,No
28,Medical reimbursement request,I was hospitalized due to dengue at Fortis Hospital. Medical bills amounting to Rs 36469 are attached. Kindly process my health insurance claim.,Health,Medium,No
29,Medical reimbursement request,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
30,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
31,Medical reimbursement request,I was hospitalized due to dengue at PGIMER Chandigarh. Medical bills amounting to Rs 242077 are attached. Kindly process my health insurance claim.,Health,Medium,No
32,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
33,Medical reimbursement request,I was hospitalized due to malaria at Fortis Hospital. Medical bills amounting to Rs 255202 are attached. Kindly process my health insurance claim.,Health,High,No
34,Hospitalization claim submission,I was hospitalized due to covid at PGIMER Chandigarh. Medical bills amounting to Rs 59523 are attached. Kindly process my health insurance claim.,Health,Medium,No
35,Health insurance claim for treatment,I was hospitalized due to dengue at AIIMS Delhi. Medical bills amounting to Rs 143930 are attached. Kindly process my health insurance claim.,Health,High,No
36,Hospitalization claim submission,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
37,Hospitalization claim submission,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 169552 are attached. Kindly process my health insurance claim.,Health,Medium,No
38,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
39,Medical reimbursement request,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 49971 are attached. Kindly process my health insurance claim.,Health,High,No
40,Health insurance claim for treatment,"Following my treatment for typhoid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
41,Medical reimbursement request,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 231694 are attached. Kindly process my health insurance claim.,Health,High,No
42,Health insurance claim for treatment,I was hospitalized due to typhoid at AIIMS Delhi. Medical bills amounting to Rs 62982 are attached. Kindly process my health insurance claim.,Health,Medium,No
43,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
44,Medical reimbursement request,"Following my treatment for fracture, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
45,Medical reimbursement request,I was hospitalized due to fracture at AIIMS Delhi. Medical bills amounting to Rs 131754 are attached. Kindly process my health insurance claim.,Health,Medium,No
46,Medical reimbursement request,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,High,No
47,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
48,Medical reimbursement request,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: AIIMS Delhi.",Health,Medium,No
49,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
50,Hospitalization claim submission,I was hospitalized due to dengue at PGIMER Chandigarh. Medical bills amounting to Rs 43114 are attached. Kindly process my health insurance claim.,Health,High,No
51,Hospitalization claim submission,I was hospitalized due to covid at Fortis Hospital. Medical bills amounting to Rs 244231 are attached. Kindly process my health insurance claim.,Health,High,No
52,Medical reimbursement request,I was hospitalized due to malaria at AIIMS Delhi. Medical bills amounting to Rs 97643 are attached. Kindly process my health insurance claim.,Health,Medium,No
53,Medical reimbursement request,I was hospitalized due to covid at Apollo Hospital. Medical bills amounting to Rs 207595 are attached. Kindly process my health insurance claim.,Health,High,No
54,Health insurance claim for treatment,I was hospitalized due to dengue at Apollo Hospital. Medical bills amounting to Rs 233058 are attached. Kindly process my health insurance claim.,Health,High,No
55,Medical reimbursement request,I was hospitalized due to malaria at PGIMER Chandigarh. Medical bills amounting to Rs 114036 are attached. Kindly process my health insurance claim.,Health,Medium,No
56,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
57,Medical reimbursement request,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
58,Medical reimbursement request,I was hospitalized due to dengue at Fortis Hospital. Medical bills amounting to Rs 192103 are attached. Kindly process my health insurance claim.,Health,Medium,No
59,Medical reimbursement request,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: PGIMER Chandigarh.",Health,High,No
60,Medical reimbursement request,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
61,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
62,Hospitalization claim submission,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,High,No
63,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
64,Health insurance claim for treatment,"Following my treatment for dengue, I am submitting documents for reimbursement. Hospital name: Apollo Hospital.",Health,Medium,No
65,Hospitalization claim submission,"Following my treatment for covid, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
66,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
67,Hospitalization claim submission,I was hospitalized due to fracture at Apollo Hospital. Medical bills amounting to Rs 251623 are attached. Kindly process my health insurance claim.,Health,Medium,No
68,Health insurance claim for treatment,I was hospitalized due to typhoid at PGIMER Chandigarh. Medical bills amounting to Rs 64457 are attached. Kindly process my health insurance claim.,Health,Medium,No
69,Health insurance claim for treatment,Please find attached my medical reports and bills for insurance claim after hospitalization.,Health,Medium,No
70,Medical reimbursement request,I was hospitalized due to malaria at AIIMS Delhi. Medical bills amounting to Rs 148368 are attached. Kindly process my health insurance claim.,Health,Medium,No
71,Health insurance claim for treatment,I was hospitalized due to fracture at PGIMER Chandigarh. Medical bills amounting to Rs 121940 are attached. Kindly process my health insurance claim.,Health,Medium,No
72,Hospitalization claim submission,"Following my treatment for malaria, I am submitting documents for reimbursement. Hospital name: Fortis Hospital.",Health,Medium,No
